10 MiB, 1 GiB, 10 GiB, 50 GiB,
0.000007,0.000784,0.005388,0.028708,
0.000004,0.000984,0.005799,0.028640,
0.000004,0.000803,0.006074,0.030085,
0.000004,0.000643,0.006503,0.028532,
0.000004,0.000803,0.005361,0.029205,
0.000004,0.000681,0.006015,0.029523,
0.000005,0.000827,0.006165,0.027445,
0.000004,0.000928,0.006022,0.027615,
0.000004,0.000907,0.005880,0.027943,
0.000004,0.000681,0.005826,0.031077,
0.000004,0.000691,0.006166,0.027447,
0.000004,0.000705,0.006135,0.029073,
0.000005,0.000622,0.006159,0.026267,
0.000004,0.000725,0.005401,0.026958,
0.000004,0.000801,0.005678,0.027113,
0.000005,0.000746,0.005952,0.027783,
0.000004,0.000555,0.005677,0.027203,
0.000004,0.000734,0.005593,0.030055,
0.000005,0.000760,0.005862,0.029719,
0.000004,0.000662,0.006218,0.029269,
0.000003,0.000728,0.006060,0.029678,
0.000004,0.000928,0.005951,0.027332,
0.000004,0.001003,0.005803,0.027149,
0.000005,0.000624,0.005947,0.028604,
0.000004,0.000589,0.006458,0.028493,
0.000004,0.000593,0.005619,0.029434,
0.000003,0.000945,0.005517,0.029457,
0.000004,0.000789,0.006099,0.027262,
0.000004,0.000766,0.005785,0.030095,
0.000004,0.001054,0.005518,0.029632,
0.000003,0.000790,0.005711,0.027948,
0.000004,0.000892,0.005501,0.027860,
0.000004,0.000857,0.005286,0.026694,
0.000004,0.000670,0.005740,0.029980,
0.000004,0.000613,0.005997,0.028857,
0.000004,0.000664,0.005760,0.029889,
0.000004,0.000775,0.005402,0.029394,
0.000007,0.000799,0.005323,0.028682,
0.000004,0.000741,0.006757,0.028588,
0.000003,0.000937,0.005802,0.030382,
0.000004,0.000487,0.005769,0.029552,
0.000004,0.000881,0.005780,0.029061,
0.000004,0.000617,0.006680,0.028483,
0.000004,0.000798,0.006080,0.029040,
0.000004,0.000713,0.005697,0.029214,
0.000007,0.000929,0.005862,0.029064,
0.000004,0.000691,0.005340,0.028461,
0.000004,0.000779,0.005609,0.028075,
0.000004,0.000758,0.005540,0.028450,
0.000004,0.000822,0.006143,0.027985,
0.000004,0.000447,0.005745,0.027263,
0.000006,0.000559,0.005704,0.029991,
0.000004,0.000780,0.005785,0.026638,
0.000004,0.000528,0.005722,0.026845,
0.000004,0.000510,0.005420,0.029057,
0.000004,0.000725,0.006113,0.029306,
0.000004,0.001030,0.007421,0.028523,
0.000004,0.000708,0.005974,0.028937,
0.000004,0.000849,0.005791,0.029042,
0.000004,0.000523,0.005777,0.028209,
0.000004,0.000826,0.005892,0.029408,
0.000004,0.000878,0.005391,0.029816,
0.000004,0.000726,0.006237,0.028083,
0.000004,0.000542,0.006153,0.029057,
0.000004,0.000574,0.005617,0.031101,
0.000004,0.000988,0.007196,0.027967,
0.000004,0.000719,0.005751,0.028505,
0.000004,0.000591,0.005692,0.028878,
0.000006,0.000712,0.006087,0.028926,
0.000003,0.000682,0.005664,0.028856,
0.000004,0.000725,0.005459,0.028949,
0.000004,0.000693,0.005809,0.027871,
0.000004,0.000685,0.005896,0.027174,
0.000003,0.000780,0.005469,0.029205,
0.000004,0.000863,0.005446,0.027981,
0.000004,0.000859,0.005369,0.026786,
0.000003,0.000667,0.005395,0.029731,
0.000004,0.000725,0.005435,0.028037,
0.000004,0.000697,0.005461,0.028494,
0.000004,0.000645,0.005378,0.029753,
0.000004,0.000678,0.006520,0.030180,
0.000004,0.000571,0.006573,0.029758,
0.000004,0.000636,0.007022,0.028998,
0.000004,0.000884,0.006084,0.029035,
0.000004,0.000716,0.005425,0.029191,
0.000004,0.000644,0.005910,0.028988,
0.000004,0.000752,0.005410,0.028817,
0.000006,0.000862,0.005812,0.030311,
0.000004,0.000511,0.005748,0.026822,
0.000004,0.000714,0.005549,0.029143,
0.000004,0.000948,0.005457,0.029486,
0.000005,0.000730,0.005785,0.030598,
0.000004,0.000758,0.005962,0.027539,
0.000004,0.000773,0.005820,0.027122,
0.000004,0.000903,0.006011,0.029949,
0.000004,0.001065,0.007085,0.028606,
0.000004,0.000883,0.005387,0.029203,
0.000004,0.000909,0.006149,0.029894,
0.000004,0.000829,0.006117,0.026615,
0.000003,0.000808,0.005696,0.030263,
0.000004,0.000695,0.005753,0.028271,
0.000008,0.000717,0.005281,0.026994,
0.000003,0.000927,0.006118,0.029972,
0.000004,0.000798,0.005850,0.029282,
0.000004,0.000773,0.006115,0.027361,
0.000004,0.000683,0.005583,0.028662,
0.000004,0.000874,0.005393,0.030867,
0.000003,0.000929,0.005901,0.028579,
0.000004,0.000667,0.005607,0.027878,
0.000004,0.000917,0.005441,0.027868,
0.000004,0.000722,0.005786,0.026574,
0.000004,0.000629,0.006002,0.028149,
0.000004,0.000697,0.005357,0.029101,
0.000004,0.000762,0.005867,0.027403,
0.000003,0.000850,0.005804,0.028007,
0.000004,0.000559,0.005532,0.029501,
0.000004,0.000780,0.005998,0.028572,
0.000004,0.000731,0.006023,0.026460,
0.000004,0.000947,0.005566,0.028883,
0.000004,0.000825,0.005777,0.029700,
0.000005,0.000733,0.006312,0.026732,
0.000004,0.000935,0.005517,0.028583,
0.000004,0.000601,0.005720,0.029373,
0.000004,0.000758,0.006240,0.028722,
0.000004,0.000714,0.006191,0.029195,
0.000004,0.000816,0.005788,0.028598,
0.000004,0.000664,0.005760,0.029444,
0.000004,0.000668,0.005876,0.027395,
0.000003,0.000573,0.005848,0.029243,
0.000004,0.000747,0.005665,0.028910,
0.000007,0.000777,0.005892,0.029320,
0.000004,0.000666,0.006037,0.029371,
0.000005,0.001007,0.006189,0.027444,
0.000004,0.000656,0.005558,0.029581,
0.000004,0.000683,0.006221,0.028026,
0.000004,0.000757,0.005725,0.028420,
0.000004,0.000701,0.005413,0.028852,
0.000003,0.000707,0.005634,0.028299,
0.000004,0.000719,0.005506,0.029837,
0.000004,0.000639,0.005433,0.029137,
0.000005,0.000757,0.005537,0.028452,
0.000004,0.000696,0.006047,0.028228,
0.000004,0.000870,0.005814,0.029667,
0.000004,0.000638,0.005544,0.026673,
0.000004,0.000597,0.005785,0.028346,
0.000004,0.000807,0.005575,0.027074,
0.000004,0.000841,0.005782,0.026954,
0.000004,0.000928,0.005783,0.029482,
0.000004,0.000683,0.006173,0.028768,
0.000004,0.000738,0.005335,0.030663,
0.000004,0.001250,0.005344,0.029771,
0.000004,0.000897,0.005823,0.029582,
0.000005,0.000744,0.006240,0.029605,
0.000005,0.000760,0.005435,0.028773,
0.000006,0.000746,0.005587,0.028941,
0.000004,0.000539,0.005221,0.029758,
0.000004,0.000559,0.005547,0.030194,
0.000004,0.000655,0.005930,0.028149,
0.000004,0.000889,0.005501,0.030815,
0.000004,0.000966,0.006806,0.029533,
0.000004,0.000431,0.006380,0.029824,
0.000004,0.000932,0.006098,0.027808,
0.000004,0.000740,0.005352,0.026754,
0.000003,0.000746,0.005641,0.028865,
0.000004,0.000675,0.005660,0.029706,
0.000004,0.000918,0.006113,0.029722,
0.000005,0.000717,0.005691,0.028626,
0.000004,0.000712,0.005616,0.029970,
0.000004,0.000942,0.006205,0.029656,
0.000008,0.000846,0.006865,0.027411,
0.000004,0.000556,0.005494,0.028522,
0.000004,0.000743,0.006749,0.030707,
0.000004,0.000789,0.006742,0.026684,
0.000005,0.000890,0.006586,0.027115,
0.000004,0.000737,0.006074,0.027264,
0.000004,0.000796,0.005832,0.029164,
0.000004,0.000611,0.006705,0.028214,
0.000004,0.000718,0.005476,0.026723,
0.000004,0.000926,0.006020,0.030311,
0.000004,0.000792,0.005407,0.027826,
0.000004,0.001007,0.006368,0.027092,
0.000006,0.000562,0.006127,0.029919,
0.000004,0.000691,0.005868,0.029052,
0.000004,0.000917,0.006194,0.030269,
0.000005,0.000682,0.006264,0.026890,
0.000004,0.000860,0.005988,0.026500,
0.000004,0.000769,0.005349,0.028940,
0.000003,0.000761,0.005729,0.028228,
0.000004,0.000695,0.005409,0.028838,
0.000004,0.000686,0.005508,0.029093,
0.000004,0.000954,0.005848,0.029312,
0.000004,0.000649,0.006336,0.027981,
0.000004,0.000483,0.005822,0.029703,
0.000004,0.000579,0.006133,0.029093,
0.000004,0.000745,0.005432,0.027102,
0.000004,0.000710,0.006191,0.028040,
0.000004,0.000719,0.006180,0.028956,
0.000005,0.000736,0.005782,0.028895,
0.000013,0.000961,0.005722,0.028809,
0.000004,0.000705,0.005876,0.029716,
0.000004,0.000735,0.005777,0.028525,
0.000004,0.000761,0.005811,0.027071,
0.000004,0.000654,0.009406,0.029545,
0.000005,0.000702,0.006297,0.026383,
0.000004,0.000721,0.005923,0.028345,
0.000004,0.000546,0.006161,0.027919,
0.000006,0.000895,0.005349,0.028492,
0.000003,0.000710,0.006234,0.029176,
0.000004,0.000783,0.005861,0.027652,
0.000004,0.000642,0.005678,0.028991,
0.000004,0.000682,0.005509,0.028518,
0.000004,0.000712,0.006462,0.028016,
0.000004,0.000597,0.006056,0.028688,
0.000004,0.000687,0.005976,0.027740,
0.000004,0.000709,0.005870,0.030682,
0.000004,0.000492,0.006183,0.029416,
0.000004,0.000968,0.005695,0.029517,
0.000005,0.000774,0.005801,0.029250,
0.000005,0.001072,0.006234,0.028322,
0.000004,0.000698,0.007273,0.028758,
0.000005,0.000924,0.006129,0.028639,
0.000004,0.000597,0.006528,0.030624,
0.000008,0.000879,0.006562,0.029810,
0.000004,0.000633,0.006307,0.031704,
0.000005,0.000679,0.006477,0.029594,
0.000004,0.000701,0.005680,0.029785,
0.000005,0.000673,0.006296,0.033774,
0.000004,0.000794,0.005585,0.028730,
0.000004,0.000888,0.006003,0.030538,
0.000005,0.000831,0.005511,0.029169,
0.000004,0.000536,0.006363,0.027487,
0.000005,0.000995,0.005961,0.029674,
0.000004,0.000999,0.006348,0.028028,
0.000005,0.000805,0.006237,0.029662,
0.000004,0.000844,0.006571,0.029233,
0.000005,0.000781,0.005458,0.029136,
0.000004,0.000711,0.005374,0.029105,
0.000005,0.000656,0.006266,0.026368,
0.000003,0.000768,0.005529,0.026370,
0.000009,0.000911,0.006906,0.030235,
0.000005,0.000990,0.005598,0.029517,
0.000004,0.000984,0.006278,0.029054,
0.000004,0.000835,0.005718,0.026127,
0.000004,0.001043,0.005337,0.026377,
0.000004,0.000701,0.005762,0.029643,
0.000005,0.000725,0.005910,0.028602,
0.000004,0.000686,0.005687,0.029270,
0.000004,0.000829,0.006000,0.029294,
0.000004,0.000639,0.005516,0.031270,
0.000004,0.000721,0.006079,0.030295,
0.000005,0.000519,0.006212,0.028893,
0.000005,0.000928,0.005928,0.029270,
0.000005,0.000722,0.006013,0.028934,
0.000005,0.000919,0.005883,0.028830,
0.000004,0.000850,0.006121,0.028477,
0.000004,0.000945,0.005284,0.027905,
0.000004,0.000707,0.005779,0.027682,
0.000004,0.000850,0.005721,0.029269,
0.000004,0.000562,0.006105,0.026998,
0.000004,0.000755,0.005474,0.030148,
0.000005,0.000723,0.006290,0.029138,
0.000004,0.000847,0.005936,0.029484,
0.000004,0.000710,0.006079,0.029665,
0.000005,0.000589,0.006123,0.028306,
0.000004,0.000961,0.005306,0.028170,
0.000004,0.000780,0.005631,0.029400,
0.000004,0.000796,0.005952,0.028335,
0.000004,0.000724,0.005729,0.027245,
0.000005,0.000619,0.005330,0.029084,
0.000004,0.000733,0.006832,0.028497,
0.000004,0.001181,0.005638,0.029469,
0.000005,0.000808,0.005373,0.029420,
0.000005,0.000753,0.006074,0.029747,
0.000005,0.001029,0.006298,0.028626,
0.000004,0.000754,0.005711,0.026574,
0.000004,0.000652,0.005922,0.042158,
0.000004,0.000933,0.005942,0.030718,
0.000005,0.000703,0.005555,0.028670,
0.000005,0.000799,0.006851,0.029486,
0.000005,0.000744,0.005795,0.028294,
0.000003,0.000783,0.006464,0.029590,
0.000004,0.000530,0.006010,0.029601,
0.000004,0.000769,0.005419,0.028658,
0.000004,0.000850,0.005951,0.026519,
0.000004,0.000831,0.005960,0.028450,
0.000004,0.000817,0.005653,0.029448,
0.000004,0.000853,0.005333,0.029767,
0.000005,0.000708,0.006139,0.029419,
0.000004,0.000741,0.006214,0.028048,
0.000003,0.000719,0.006300,0.029076,
0.000009,0.000811,0.005327,0.026970,
0.000004,0.000874,0.005619,0.026354,
0.000004,0.000669,0.005864,0.029085,
0.000004,0.000743,0.006162,0.028639,
0.000004,0.000752,0.005453,0.027065,
0.000003,0.000727,0.005849,0.027935,
0.000004,0.000707,0.005670,0.028206,
0.000004,0.001024,0.006213,0.026753,
0.000004,0.000492,0.005765,0.028574,
0.000004,0.000596,0.006068,0.029702,
0.000005,0.000933,0.005934,0.026395,
0.000004,0.000912,0.005719,0.029080,
0.000004,0.000765,0.005944,0.028540,
0.000004,0.000826,0.005463,0.029895,
0.000005,0.000668,0.005828,0.028458,
0.000003,0.000976,0.005782,0.028147,
0.000004,0.000781,0.006484,0.026469,
0.000004,0.000995,0.005365,0.026374,
0.000004,0.000665,0.005332,0.029500,
0.000004,0.000741,0.005875,0.029258,
0.000004,0.000774,0.005634,0.029941,
0.000005,0.000929,0.005780,0.029378,
0.000004,0.000589,0.006133,0.029222,
0.000005,0.000554,0.007217,0.028435,
0.000004,0.000782,0.005587,0.029500,
0.000004,0.000769,0.005306,0.028717,
0.000005,0.000537,0.005334,0.028621,
0.000004,0.000987,0.005833,0.029000,
0.000004,0.000802,0.005884,0.028812,
0.000008,0.000703,0.006119,0.027674,
0.000005,0.000910,0.005825,0.026452,
0.000004,0.000736,0.005494,0.029524,
0.000004,0.000678,0.005408,0.028600,
0.000004,0.000739,0.005837,0.029094,
0.000004,0.000755,0.006051,0.027006,
0.000004,0.000723,0.005613,0.028334,
0.000004,0.000831,0.006626,0.031623,
0.000004,0.000970,0.005830,0.026533,
0.000004,0.000755,0.005710,0.026274,
0.000004,0.000709,0.005368,0.026560,
0.000004,0.000762,0.005676,0.028734,
0.000004,0.000897,0.005799,0.029468,
0.000005,0.000719,0.006041,0.030766,
0.000005,0.000727,0.005797,0.026381,
0.000004,0.000727,0.005942,0.029318,
0.000004,0.000738,0.006176,0.028949,
0.000004,0.000635,0.006040,0.028512,
0.000004,0.000718,0.006042,0.030154,
0.000004,0.000611,0.006644,0.026763,
0.000004,0.000612,0.005678,0.027525,
0.000009,0.000657,0.005345,0.026763,
0.000004,0.000886,0.006065,0.027290,
0.000004,0.000584,0.005617,0.029715,
0.000004,0.000893,0.005333,0.026429,
0.000006,0.000826,0.005358,0.028245,
0.000009,0.000717,0.005833,0.029211,
0.000005,0.000786,0.005875,0.029993,
0.000004,0.001010,0.005775,0.029293,
0.000005,0.000729,0.005281,0.027508,
0.000004,0.000537,0.005789,0.028785,
0.000004,0.000730,0.006038,0.028950,
0.000005,0.000690,0.005665,0.027505,
0.000004,0.000697,0.005891,0.028224,
0.000005,0.000692,0.005620,0.028845,
0.000007,0.000877,0.005929,0.028859,
0.000004,0.000464,0.005993,0.026363,
0.000003,0.000900,0.005348,0.030270,
0.000004,0.000933,0.005758,0.030769,
0.000004,0.000680,0.006180,0.029976,
0.000005,0.000846,0.006214,0.026419,
0.000004,0.000545,0.005694,0.028866,
0.000003,0.000691,0.005974,0.029179,
0.000004,0.000674,0.005643,0.029516,
0.000005,0.000709,0.006201,0.029195,
0.000005,0.000480,0.006196,0.028643,
0.000005,0.000782,0.006167,0.029842,
0.000009,0.000690,0.006180,0.028880,
0.000003,0.000984,0.005809,0.026642,
0.000003,0.000945,0.005796,0.026737,
0.000004,0.000666,0.005474,0.028255,
0.000004,0.000923,0.005731,0.027297,
0.000004,0.000899,0.005334,0.028563,
0.000004,0.000849,0.005355,0.028590,
0.000004,0.000901,0.005907,0.029353,
0.000004,0.000559,0.006196,0.027278,
0.000008,0.000726,0.005973,0.026113,
0.000004,0.000681,0.005354,0.029120,
0.000004,0.000582,0.005321,0.028000,
0.000005,0.000948,0.005925,0.026270,
0.000004,0.000746,0.005521,0.030070,
0.000004,0.000702,0.005320,0.029641,
0.000005,0.000820,0.006715,0.028845,
0.000004,0.000507,0.005706,0.029292,
0.000005,0.000694,0.005900,0.029144,
0.000004,0.000792,0.005844,0.029122,
0.000004,0.000769,0.005785,0.031020,
0.000006,0.000690,0.005440,0.029453,
0.000005,0.000739,0.006177,0.027249,
0.000004,0.000506,0.005372,0.029928,
0.000005,0.001014,0.005521,0.028329,
0.000003,0.000826,0.005355,0.026442,
0.000004,0.000727,0.005771,0.027279,
0.000004,0.000634,0.005531,0.027864,
0.000004,0.000886,0.006717,0.028643,
0.000004,0.000816,0.006090,0.029332,
0.000005,0.000599,0.006005,0.027826,
0.000008,0.000966,0.005801,0.031549,
0.000009,0.000705,0.006396,0.030418,
0.000004,0.000712,0.006172,0.029879,
0.000004,0.000687,0.006198,0.028766,
0.000004,0.000545,0.006820,0.028178,
0.000003,0.000846,0.005813,0.028135,
0.000004,0.000530,0.005452,0.028267,
0.000004,0.000635,0.005863,0.027946,
0.000004,0.000889,0.005336,0.028431,
0.000004,0.000792,0.006694,0.028706,
0.000004,0.000778,0.005771,0.028966,
0.000004,0.000955,0.005687,0.027560,
0.000004,0.000779,0.006322,0.028450,
0.000004,0.000823,0.005970,0.029742,
0.000005,0.000703,0.006065,0.028633,
0.000005,0.000972,0.006392,0.028435,
0.000004,0.000548,0.005605,0.027263,
0.000006,0.000732,0.005605,0.029802,
0.000004,0.000786,0.005581,0.030078,
0.000007,0.000995,0.005552,0.026577,
0.000004,0.000821,0.005376,0.026593,
0.000003,0.000736,0.005463,0.029006,
0.000008,0.000679,0.005366,0.030027,
0.000004,0.000725,0.006035,0.028284,
0.000004,0.000701,0.005709,0.028480,
0.000004,0.000802,0.006567,0.029642,
0.000004,0.000829,0.005530,0.027666,
0.000004,0.000835,0.005706,0.029681,
0.000005,0.000660,0.005799,0.028373,
0.000004,0.000899,0.005875,0.028482,
0.000004,0.000849,0.006489,0.029769,
0.000005,0.000741,0.005405,0.030184,
0.000004,0.000522,0.007175,0.027538,
0.000004,0.000859,0.006487,0.026281,
0.000003,0.000748,0.005505,0.027264,
0.000004,0.000622,0.006097,0.026384,
0.000004,0.000728,0.005602,0.028011,
0.000004,0.000915,0.005913,0.026744,
0.000004,0.000935,0.005900,0.027046,
0.000004,0.000784,0.005763,0.027147,
0.000004,0.000691,0.005853,0.030171,
0.000005,0.000703,0.006076,0.026555,
0.000004,0.000664,0.005404,0.026772,
0.000004,0.000970,0.005326,0.027830,
0.000004,0.000898,0.005814,0.028103,
0.000003,0.000650,0.006120,0.029174,
0.000004,0.000456,0.005857,0.028822,
0.000004,0.000555,0.005366,0.027440,
0.000008,0.000710,0.006009,0.026736,
0.000004,0.000706,0.005778,0.029933,
0.000004,0.000774,0.005708,0.029607,
0.000004,0.000940,0.006209,0.029699,
0.000004,0.000974,0.006128,0.029342,
0.000004,0.000753,0.005504,0.027502,
0.000004,0.000824,0.005449,0.027945,
0.000003,0.000949,0.005453,0.026195,
0.000004,0.000924,0.005510,0.028654,
0.000004,0.000589,0.005815,0.028452,
0.000012,0.000801,0.005854,0.026797,
0.000004,0.000731,0.005482,0.027949,
0.000004,0.000713,0.005808,0.027187,
0.000004,0.001010,0.006182,0.028035,
0.000004,0.000744,0.005767,0.028647,
0.000004,0.000802,0.005790,0.028167,
0.000004,0.000581,0.005888,0.028929,
0.000004,0.000430,0.005986,0.029286,
0.000004,0.000651,0.006043,0.029256,
0.000004,0.000664,0.005333,0.028324,
0.000004,0.000755,0.005799,0.031331,
0.000003,0.000812,0.006682,0.027665,
0.000004,0.000728,0.005762,0.029591,
0.000004,0.000705,0.005756,0.029283,
0.000005,0.000880,0.006155,0.028251,
0.000005,0.000689,0.006064,0.028739,
0.000003,0.000713,0.006037,0.029875,
0.000004,0.000674,0.006262,0.027018,
0.000004,0.000931,0.006030,0.028819,
0.000004,0.000796,0.005590,0.028799,
0.000004,0.000578,0.005470,0.028803,
0.000005,0.000839,0.005828,0.027790,
0.000004,0.000870,0.005441,0.029712,
0.000004,0.000598,0.005476,0.026724,
0.000004,0.000718,0.005978,0.033729,
0.000004,0.000754,0.005417,0.028682,
0.000012,0.000692,0.006144,0.029317,
0.000004,0.000751,0.006429,0.029046,
0.000005,0.000421,0.005538,0.028952,
0.000004,0.000805,0.005415,0.028338,
0.000004,0.000955,0.005788,0.029084,
0.000004,0.000686,0.005641,0.027466,
0.000004,0.000860,0.005849,0.029294,
0.000005,0.000677,0.006043,0.030217,
0.000004,0.000684,0.005846,0.028773,
0.000004,0.000957,0.005365,0.030013,
0.000004,0.000863,0.005750,0.029285,
0.000003,0.000705,0.005570,0.027764,
0.000004,0.000635,0.005358,0.029906,
0.000004,0.000742,0.005587,0.026830,
0.000006,0.000656,0.005677,0.026722,
0.000004,0.000533,0.005526,0.029926,
0.000004,0.000900,0.006234,0.030100,
0.000009,0.000688,0.009703,0.026983,
0.000007,0.000740,0.006046,0.027140,
0.000004,0.000516,0.005828,0.027674,
0.000004,0.000714,0.005685,0.028985,
0.000004,0.000869,0.006231,0.026613,
0.000004,0.000944,0.005514,0.027876,
0.000004,0.000792,0.006191,0.028464,
0.000004,0.000951,0.005785,0.028503,
0.000004,0.000527,0.005785,0.029467,
0.000005,0.000646,0.005550,0.028372,
0.000007,0.000968,0.005560,0.028685,
0.000004,0.000695,0.005459,0.029667,
0.000004,0.000826,0.005343,0.029597,
0.000004,0.000713,0.006309,0.028633,
0.000005,0.000726,0.005368,0.029073,
0.000004,0.000910,0.005936,0.028068,
0.000004,0.000761,0.005329,0.027466,
0.000013,0.000904,0.005819,0.029461,
0.000013,0.000778,0.005734,0.029616,
0.000005,0.000595,0.005694,0.029933,
0.000008,0.000723,0.005407,0.026477,
0.000004,0.000676,0.005396,0.028610,
0.000004,0.000713,0.005829,0.029229,
0.000005,0.000746,0.005938,0.030179,
0.000004,0.000722,0.005956,0.028674,
0.000004,0.000908,0.005528,0.028488,
0.000004,0.000591,0.005996,0.028530,
0.000004,0.000796,0.005461,0.029460,
0.000004,0.000943,0.005921,0.026117,
0.000004,0.000911,0.005950,0.029419,
0.000004,0.001038,0.005895,0.029400,
0.000005,0.000885,0.006120,0.028680,
0.000007,0.000790,0.005738,0.028445,
0.000004,0.000983,0.005575,0.028704,
0.000004,0.000899,0.005556,0.029032,
0.000004,0.000801,0.006038,0.029921,
0.000005,0.000685,0.005513,0.029949,
0.000005,0.000628,0.006227,0.030749,
0.000003,0.000722,0.005756,0.030324,
0.000005,0.000763,0.006298,0.027761,
0.000004,0.000595,0.005491,0.027673,
0.000006,0.000706,0.005715,0.029754,
0.000005,0.000689,0.005920,0.027975,
0.000004,0.000491,0.009452,0.029578,
0.000004,0.000895,0.005484,0.029224,
0.000005,0.000731,0.005655,0.028099,
0.000005,0.000622,0.006270,0.027625,
0.000004,0.000952,0.005707,0.031156,
0.000003,0.000688,0.005590,0.029632,
0.000008,0.000915,0.005835,0.029146,
0.000006,0.000771,0.006314,0.029053,
0.000004,0.000582,0.005617,0.028708,
0.000005,0.000720,0.005694,0.027762,
0.000004,0.000788,0.005901,0.028553,
0.000004,0.000740,0.005842,0.029491,
0.000004,0.000732,0.005278,0.028608,
0.000004,0.000973,0.006002,0.028538,
0.000004,0.000706,0.005915,0.028536,
0.000004,0.000763,0.005433,0.029292,
0.000004,0.000683,0.006172,0.030297,
0.000005,0.000953,0.006369,0.027556,
0.000005,0.000893,0.005996,0.029631,
0.000005,0.000623,0.005683,0.028598,
0.000004,0.000839,0.005878,0.029214,
0.000005,0.000656,0.006214,0.030292,
0.000004,0.000644,0.005364,0.027540,
0.000004,0.000685,0.005788,0.029097,
0.000005,0.000832,0.005461,0.029624,
0.000005,0.000611,0.005864,0.028960,
0.000005,0.000895,0.006150,0.028459,
0.000004,0.000478,0.005852,0.029884,
0.000004,0.000708,0.006518,0.028997,
0.000005,0.000851,0.006144,0.026407,
0.000004,0.000665,0.005921,0.026692,
0.000004,0.000661,0.005854,0.029126,
0.000005,0.000756,0.006235,0.028515,
0.000004,0.000754,0.005446,0.029358,
0.000005,0.000613,0.005927,0.026859,
0.000004,0.000746,0.005502,0.030171,
0.000004,0.000692,0.006248,0.029757,
0.000005,0.000779,0.005757,0.028567,
0.000007,0.000772,0.005822,0.029413,
0.000005,0.000707,0.005870,0.026927,
0.000004,0.000693,0.005353,0.030060,
0.000004,0.000696,0.005793,0.030044,
0.000004,0.000708,0.005868,0.028583,
0.000004,0.000848,0.006279,0.028360,
0.000004,0.000893,0.006498,0.031376,
0.000004,0.000924,0.005534,0.029177,
0.000004,0.000837,0.005975,0.028906,
0.000004,0.000742,0.005506,0.028864,
0.000004,0.000601,0.005464,0.026745,
0.000004,0.000761,0.005342,0.028408,
0.000004,0.000951,0.005758,0.030978,
0.000007,0.000799,0.005683,0.028996,
0.000004,0.000870,0.005710,0.028875,
0.000004,0.000879,0.005691,0.028505,
0.000004,0.000979,0.005374,0.029874,
0.000004,0.000724,0.005799,0.030024,
0.000004,0.000697,0.005759,0.028125,
0.000004,0.000736,0.005751,0.027666,
